hour,price_mean,distance_mean,surge_mean,api_calls,temp,rain,humidity,clouds,wind
01-01-2023 06:00,16.55555556,1.726666667,1.055555556,9,40.62733333,0,0.913333333,0.990666667,1.350666667
01-01-2023 07:00,17.3,1.69,1.1,10,41.1375,0,0.92,0.97,1.735
01-01-2023 08:00,13.5,1.38,1,1,40.92,0,0.923333333,0.98,1.33
01-01-2023 09:00,17.95454545,1.920909091,1.113636364,11,40.9375,0,0.9275,1,1.365
01-01-2023 10:00,18.625,2.1225,1.083333333,12,40.695,0,0.94,0.995,1.895
01-01-2023 11:00,15.08333333,1.721666667,1,6,40.185,0,0.94,0.955,2.26
01-01-2023 12:00,16.25,1.836666667,1.020833333,12,40.315,0,0.935,0.92,2.94
01-01-2023 13:00,19.88888889,2.144444444,1.222222222,9,41.95,0.0031,0.91,0.91,3.545
01-01-2023 14:00,16.5,2.033333333,1,9,42.765,0.0044,0.91,0.905,2.96
01-01-2023 15:00,14.75,1.616,1,10,43.76,0,0.895,0.925,4.145
01-01-2023 16:00,15.16666667,1.607777778,1.027777778,9,44.93,0,0.875,0.92,5.035
01-01-2023 17:00,15.5,1.801111111,1,9,45.49,0,0.86,0.99,6.28
01-01-2023 18:00,15.46666667,1.544,1.116666667,15,45.205,0,0.875,0.985,5.27
01-01-2023 19:00,16.07142857,1.717142857,1.035714286,7,45.94,0,0.835,0.945,8.34
01-01-2023 20:00,15.71428571,1.722857143,1,7,45.265,0,0.83,0.93,8.735
01-01-2023 21:00,18.16666667,2.201111111,1,9,44.7,0.002,0.85,0.955,9.31
01-01-2023 22:00,17.36111111,2.027222222,1.013888889,18,44.682,0.0161,0.874,0.98,8.83
01-01-2023 23:00,15.77586207,1.692068966,1.060344828,29,44.43,0.0911,0.88,0.98,9.555
02-01-2023 00:00,17.23913043,1.976521739,1.02173913,23,43.90625,0.1569,0.905,0.9825,10.22
02-01-2023 01:00,16.5,1.9632,1.02,25,44.11,0.2756,0.9025,0.9925,11.455
02-01-2023 02:00,16.03846154,1.808461538,1,13,44.08,0.1307,0.895,0.995,12.47
02-01-2023 03:00,15.57142857,1.743571429,1.035714286,14,44.595,0.19365,0.89,0.995,13.795
02-01-2023 04:00,16.51851852,1.737407407,1.055555556,27,44.115,0.054,0.9,1,13.715
02-01-2023 05:00,17.30769231,1.973846154,1.057692308,13,44.19666667,0.020733333,0.893333333,1,14.13666667
02-01-2023 06:00,15.66071429,1.525714286,1.098214286,28,44.275,0.01785,0.91,1,12.165
02-01-2023 07:00,17.41666667,1.763888889,1.097222222,18,43.79,0.01315,0.91,1,11.55
02-01-2023 08:00,16.38888889,1.857777778,1.027777778,27,43.905,0.01065,0.925,1,10.545
02-01-2023 09:00,16.88461538,1.62,1.115384615,13,44.34,0.0127,0.95,1,9.255
02-01-2023 10:00,17.625,1.90125,1.109375,16,44.755,0.015,0.965,0.99,6.005
02-01-2023 11:00,17.32,1.9076,1.07,25,44.845,0,0.965,0.975,3.27
02-01-2023 12:00,15.57894737,1.841052632,1,19,45.22,0,0.93,0.985,3.075
02-01-2023 13:00,17,1.646296296,1.138888889,27,44.82,0,0.905,0.955,5.4
02-01-2023 14:00,16.04,1.8068,1.02,25,43.875,0,0.89,0.945,10.74
02-01-2023 15:00,16.92857143,1.76,1.095238095,21,41.09,0,0.875,1,10.685
02-01-2023 16:00,19.1,2.048,1.14,25,41.02,0,0.84,0.96,10.305
02-01-2023 17:00,17.16666667,1.892,1.066666667,15,41.265,0,0.795,0.915,10.78
02-01-2023 18:00,16.07142857,1.866666667,1.011904762,21,41.74,0,0.76,0.83,10.74
02-01-2023 19:00,15.97058824,1.726470588,1.044117647,17,42.655,0,0.725,0.795,9.345
02-01-2023 20:00,15.90625,1.673125,1.046875,16,43.03,0,0.71,0.675,8.525
02-01-2023 21:00,17.59375,1.803125,1.140625,16,42.05,0,0.705,0.595,9.255
