date,demand
01-01-1973,55
01-02-1973,60
01-03-1973,68
01-04-1973,63
01-05-1973,65
01-06-1973,61
01-07-1973,54
01-08-1973,52
01-09-1973,46
01-10-1973,42
01-11-1973,37
01-12-1973,30
01-01-1974,37
01-02-1974,44
01-03-1974,55
01-04-1974,53
01-05-1974,58
01-06-1974,50
01-07-1974,48
01-08-1974,45
01-09-1974,41
01-10-1974,34
01-11-1974,30
01-12-1974,24
01-01-1975,29
01-02-1975,34
01-03-1975,44
01-04-1975,54
01-05-1975,57
01-06-1975,51
01-07-1975,51
01-08-1975,53
01-09-1975,46
01-10-1975,46
01-11-1975,46
01-12-1975,39
01-01-1976,41
01-02-1976,53
01-03-1976,55
01-04-1976,62
01-05-1976,55
01-06-1976,56
01-07-1976,57
01-08-1976,59
01-09-1976,58
01-10-1976,55
01-11-1976,49
01-12-1976,47
01-01-1977,57
01-02-1977,68
01-03-1977,84
01-04-1977,81
01-05-1977,78
01-06-1977,74
01-07-1977,64
01-08-1977,74
01-09-1977,71
01-10-1977,63
01-11-1977,55
01-12-1977,51
01-01-1978,57
01-02-1978,63
01-03-1978,75
01-04-1978,85
01-05-1978,80
01-06-1978,77
01-07-1978,68
01-08-1978,72
01-09-1978,68
01-10-1978,70
01-11-1978,53
01-12-1978,50
01-01-1979,53
01-02-1979,58
01-03-1979,73
01-04-1979,72
01-05-1979,68
01-06-1979,63
01-07-1979,64
01-08-1979,68
01-09-1979,60
01-10-1979,54
01-11-1979,41
01-12-1979,35
01-01-1980,43
01-02-1980,44
01-03-1980,44
01-04-1980,36
01-05-1980,44
01-06-1980,50
01-07-1980,55
01-08-1980,61
01-09-1980,50
01-10-1980,46
01-11-1980,39
01-12-1980,33
01-01-1981,37
01-02-1981,40
01-03-1981,49
01-04-1981,44
01-05-1981,45
01-06-1981,38
01-07-1981,36
01-08-1981,34
01-09-1981,28
01-10-1981,29
01-11-1981,27
01-12-1981,29
01-01-1982,28
01-02-1982,29
01-03-1982,36
01-04-1982,32
01-05-1982,36
01-06-1982,34
01-07-1982,31
01-08-1982,36
01-09-1982,39
01-10-1982,40
01-11-1982,39
01-12-1982,33
01-01-1983,44
01-02-1983,46
01-03-1983,57
01-04-1983,59
01-05-1983,64
01-06-1983,59
01-07-1983,51
01-08-1983,50
01-09-1983,48
01-10-1983,51
01-11-1983,45
01-12-1983,48
01-01-1984,52
01-02-1984,58
01-03-1984,63
01-04-1984,61
01-05-1984,59
01-06-1984,58
01-07-1984,52
01-08-1984,48
01-09-1984,53
01-10-1984,55
01-11-1984,42
01-12-1984,38
01-01-1985,48
01-02-1985,55
01-03-1985,67
01-04-1985,60
01-05-1985,65
01-06-1985,65
01-07-1985,63
01-08-1985,61
01-09-1985,54
01-10-1985,52
01-11-1985,51
01-12-1985,47
01-01-1986,55
01-02-1986,59
01-03-1986,89
01-04-1986,84
01-05-1986,75
01-06-1986,66
01-07-1986,57
01-08-1986,52
01-09-1986,60
01-10-1986,54
01-11-1986,48
01-12-1986,49
01-01-1987,53
01-02-1987,59
01-03-1987,73
01-04-1987,72
01-05-1987,62
01-06-1987,58
01-07-1987,55
01-08-1987,56
01-09-1987,52
01-10-1987,52
01-11-1987,43
01-12-1987,37
01-01-1988,43
01-02-1988,55
01-03-1988,68
01-04-1988,68
01-05-1988,64
01-06-1988,65
01-07-1988,57
01-08-1988,59
01-09-1988,54
01-10-1988,57
01-11-1988,43
01-12-1988,42
01-01-1989,52
01-02-1989,51
01-03-1989,58
01-04-1989,60
01-05-1989,61
01-06-1989,58
01-07-1989,62
01-08-1989,61
01-09-1989,49
01-10-1989,51
01-11-1989,47
01-12-1989,40
01-01-1990,45
01-02-1990,50
01-03-1990,58
01-04-1990,52
01-05-1990,50
01-06-1990,50
01-07-1990,46
01-08-1990,46
01-09-1990,38
01-10-1990,37
01-11-1990,34
01-12-1990,29
01-01-1991,30
01-02-1991,40
01-03-1991,46
01-04-1991,46
01-05-1991,47
01-06-1991,47
01-07-1991,43
01-08-1991,46
01-09-1991,37
01-10-1991,41
01-11-1991,39
01-12-1991,36
01-01-1992,48
01-02-1992,55
01-03-1992,56
01-04-1992,53
01-05-1992,52
01-06-1992,53
01-07-1992,52
01-08-1992,56
01-09-1992,51
01-10-1992,48
01-11-1992,42
01-12-1992,42
